Date,Open,High,Low,Close,Adj Close,Volume
2010-01-01,8.860000,9.040000,8.690000,8.890000,8.890000,23865100
2010-01-08,8.970000,9.110000,8.250000,8.510000,8.510000,40568500
2010-01-15,8.530000,8.530000,7.950000,8.090000,8.090000,42458600
2010-01-22,8.060000,8.060000,7.290000,7.440000,7.440000,60371500
2010-01-29,7.590000,7.890000,7.060000,7.390000,7.390000,82854500
2010-02-05,7.420000,8.030000,7.200000,7.920000,7.920000,53187900
2010-02-12,7.790000,8.300000,7.650000,8.160000,8.160000,28624700
2010-02-19,8.110000,8.350000,7.740000,7.990000,7.990000,44847100
2010-02-26,7.940000,8.460000,7.800000,8.100000,8.100000,50062500
2010-03-05,8.150000,8.460000,7.810000,8.050000,8.050000,62132300
2010-03-12,8.110000,8.150000,7.700000,7.960000,7.960000,61931200
2010-03-19,7.960000,8.270000,7.720000,8.000000,8.000000,51334800
2010-03-26,8.020000,8.310000,7.840000,8.060000,8.060000,45208100
2010-04-02,8.110000,8.490000,8.080000,8.260000,8.260000,48811900
2010-04-09,8.320000,8.920000,8.200000,8.880000,8.880000,52301300
2010-04-16,8.850000,8.850000,8.120000,8.520000,8.520000,43498700
2010-04-23,8.460000,8.660000,8.090000,8.360000,8.360000,52201000
2010-04-30,8.370000,8.370000,6.800000,7.400000,7.400000,90043500
2010-05-07,7.380000,8.130000,7.060000,7.940000,7.940000,75908500
2010-05-14,7.850000,7.960000,7.100000,7.270000,7.270000,54721100
2010-05-21,7.100000,7.530000,6.900000,7.490000,7.490000,52093800
2010-05-28,7.510000,7.530000,7.050000,7.350000,7.350000,30238700
2010-06-04,7.110000,7.300000,6.420000,6.600000,6.600000,57771900
2010-06-11,6.530000,7.360000,6.500000,7.230000,7.230000,45256500
2010-06-18,7.210000,7.350000,6.530000,6.680000,6.680000,40778300
2010-06-25,6.720000,6.840000,6.170000,6.400000,6.400000,49442200
2010-07-02,6.430000,6.770000,6.180000,6.690000,6.690000,21345200
2010-07-09,6.690000,7.090000,6.610000,7.040000,7.040000,33680200
2010-07-16,7.010000,7.370000,6.870000,7.320000,7.320000,43297900
2010-07-23,7.280000,7.450000,6.730000,6.840000,6.840000,38294800
2010-07-30,6.800000,6.990000,6.630000,6.690000,6.690000,56940100
2010-08-06,6.650000,6.900000,6.220000,6.370000,6.370000,41888500
2010-08-13,6.370000,6.620000,6.300000,6.440000,6.440000,22151000
2010-08-20,6.410000,6.500000,6.140000,6.220000,6.220000,27978700
2010-08-27,6.280000,6.620000,6.080000,6.540000,6.540000,29355200
2010-09-03,6.660000,6.670000,6.190000,6.200000,6.200000,33882200
2010-09-10,6.140000,6.770000,6.070000,6.740000,6.740000,33790000
2010-09-17,6.770000,6.890000,6.560000,6.610000,6.610000,32448600
2010-09-24,6.740000,7.340000,6.650000,7.210000,7.210000,37002600
2010-10-01,7.220000,7.320000,6.870000,6.990000,6.990000,32362900
2010-10-08,6.970000,7.150000,6.870000,6.990000,6.990000,43671500
2010-10-15,7.080000,7.230000,6.960000,7.060000,7.060000,21428100
2010-10-22,7.060000,7.720000,7.060000,7.570000,7.570000,34320400
2010-10-29,7.570000,8.100000,7.470000,8.010000,8.010000,46264600
2010-11-05,7.980000,8.330000,7.880000,8.100000,8.100000,25468400
2010-11-12,8.020000,8.260000,7.740000,7.950000,7.950000,23121800
2010-11-19,7.950000,8.210000,7.880000,8.210000,8.210000,16696700
2010-11-26,8.140000,9.100000,7.990000,9.090000,9.090000,44853200
2010-12-03,9.000000,9.440000,8.990000,9.340000,9.340000,33848400
2010-12-10,9.340000,9.360000,8.890000,9.010000,9.010000,23851100
2010-12-17,9.030000,9.410000,9.000000,9.390000,9.390000,23199600
2010-12-24,9.380000,9.970000,9.290000,9.850000,9.850000,21926500
2010-12-31,9.870000,10.440000,9.800000,10.420000,10.420000,39171800
2011-01-07,10.530000,11.610000,10.450000,11.430000,11.430000,67905500
2011-01-14,11.370000,11.950000,10.760000,11.070000,11.070000,52811700
2011-01-21,11.210000,11.500000,10.800000,11.360000,11.360000,37204600
2011-01-28,11.380000,11.780000,10.850000,11.170000,11.170000,64255200
2011-02-04,11.160000,11.830000,11.040000,11.190000,11.190000,43540500
2011-02-11,11.210000,11.870000,11.150000,11.740000,11.740000,31983900
2011-02-18,11.750000,11.760000,10.330000,11.100000,11.100000,30905800
2011-02-25,11.160000,11.590000,10.850000,11.080000,11.080000,32562000
2011-03-04,11.380000,11.490000,9.960000,10.190000,10.190000,36030700
2011-03-11,10.070000,10.390000,9.400000,9.730000,9.730000,49859300
2011-03-18,9.810000,10.120000,9.470000,9.950000,9.950000,34451000
2011-03-25,10.080000,10.220000,9.690000,9.860000,9.860000,18832500
2011-04-01,9.950000,10.230000,9.570000,9.770000,9.770000,36466200
2011-04-08,9.790000,9.870000,9.340000,9.480000,9.480000,28374900
2011-04-15,9.500000,10.010000,9.210000,9.950000,9.950000,24082500
2011-04-22,9.960000,10.440000,9.920000,10.280000,10.280000,19408400
2011-04-29,10.280000,11.580000,10.160000,11.020000,11.020000,53263800
2011-05-06,11.160000,11.850000,11.050000,11.790000,11.790000,34219300
2011-05-13,11.700000,11.820000,11.170000,11.500000,11.500000,24889300
2011-05-20,11.440000,11.550000,10.660000,10.970000,10.970000,32044200
2011-05-27,10.970000,11.250000,10.750000,10.890000,10.890000,18239900
2011-06-03,10.750000,10.840000,10.330000,10.540000,10.540000,27539600
2011-06-10,10.490000,10.510000,9.730000,9.850000,9.850000,30002300
2011-06-17,9.930000,10.170000,9.520000,10.130000,10.130000,34898400
2011-06-24,10.130000,10.520000,10.000000,10.470000,10.470000,25271500
2011-07-01,10.550000,10.770000,10.310000,10.600000,10.600000,24248100
2011-07-08,10.410000,10.520000,9.100000,9.300000,9.300000,57153800
2011-07-15,9.310000,9.410000,8.860000,8.930000,8.930000,47890600
2011-07-22,8.950000,9.410000,8.830000,8.840000,8.840000,33646600
2011-07-29,8.770000,8.910000,7.630000,7.660000,7.660000,51635700
2011-08-05,7.800000,7.800000,6.860000,7.590000,7.590000,54442500
2011-08-12,7.710000,7.900000,6.790000,6.900000,6.900000,34702600
2011-08-19,6.790000,7.330000,6.620000,7.060000,7.060000,32844800
2011-08-26,6.980000,7.520000,6.800000,7.110000,7.110000,21038200
2011-09-02,6.970000,7.410000,6.590000,7.220000,7.220000,26281300
2011-09-09,7.130000,8.420000,6.990000,8.360000,8.360000,47451900
2011-09-16,8.340000,8.370000,7.160000,7.350000,7.350000,33581200
2011-09-23,7.260000,8.040000,7.190000,7.410000,7.410000,24570600
2011-09-30,7.290000,7.410000,6.530000,7.280000,7.280000,35013900
2011-10-07,7.250000,8.010000,7.010000,8.010000,8.010000,46114300
2011-10-14,8.150000,8.290000,6.630000,6.730000,6.730000,73506500
2011-10-21,6.830000,8.000000,6.540000,7.730000,7.730000,70120900
2011-10-28,7.720000,8.000000,7.030000,7.790000,7.790000,64798800
2011-11-04,7.660000,8.110000,7.270000,7.440000,7.440000,40457700
2011-11-11,7.520000,8.380000,7.460000,7.580000,7.580000,37419900
2011-11-18,7.670000,8.410000,7.060000,7.070000,7.070000,32065300
2011-11-25,7.080000,8.040000,6.900000,8.010000,8.010000,33529500
2011-12-02,8.060000,8.280000,7.920000,7.960000,7.960000,33732100
2011-12-09,7.920000,8.200000,6.920000,7.180000,7.180000,43627700
2011-12-16,7.250000,7.500000,6.950000,7.460000,7.460000,34441800
2011-12-23,7.540000,7.830000,7.340000,7.670000,7.670000,11735400
2011-12-30,7.650000,8.070000,7.560000,8.010000,8.010000,26155300
2012-01-06,8.000000,8.500000,7.860000,8.300000,8.300000,42262300
2012-01-13,8.210000,9.170000,8.020000,8.940000,8.940000,46019300
2012-01-20,8.700000,9.140000,8.670000,8.670000,8.670000,47605300
2012-01-27,8.600000,9.070000,8.590000,9.060000,9.060000,30087400
2012-02-03,9.130000,9.850000,9.010000,9.500000,9.500000,53290900
2012-02-10,9.350000,9.540000,9.200000,9.470000,9.470000,36486000
2012-02-17,9.560000,9.590000,8.870000,9.120000,9.120000,25167500
2012-02-24,9.130000,9.300000,8.840000,9.040000,9.040000,29385600
2012-03-02,9.030000,9.130000,8.290000,8.720000,8.720000,43440400
2012-03-09,8.550000,9.160000,8.550000,9.080000,9.080000,21697500
2012-03-16,9.100000,9.260000,8.950000,8.990000,8.990000,17557000
2012-03-23,8.980000,9.310000,8.620000,8.860000,8.860000,26471500
2012-03-30,8.930000,9.040000,8.400000,8.490000,8.490000,27460700
2012-04-06,8.380000,8.790000,8.150000,8.720000,8.720000,23183500
2012-04-13,8.660000,8.720000,8.170000,8.290000,8.290000,39797700
